Год,Месяц,Расходы,Основная категория расходов,Комментарий
2025,Январь,98500,Регулярные расходы,"После праздников расходы выше обычного: продукты, транспорт, бытовые траты."
2025,Февраль,94200,Регулярные расходы,Небольшой рост регулярных платежей и подписок.
2025,Март,142800,Обучение,Оплачен новый курс и дополнительные материалы для обучения.
2025,Апрель,101300,Регулярные расходы,"Расходы стабилизировались, но базовые траты выше, чем в прошлом году."
2025,Май,106700,Подписки и сервисы,Продлены рабочие подписки и оплачены цифровые сервисы.
2025,Июнь,112400,Регулярные расходы,Рост расходов перед летним сезоном: покупки и подготовка к поездке.
2025,Июль,174900,Путешествие,"Летний отпуск: перелёты, жильё, экскурсии и питание вне дома."
2025,Август,128600,Отдых и досуг,Остались повышенные расходы после отпуска и дополнительные поездки.
2025,Сентябрь,116500,Обучение и подписки,Оплата образовательных сервисов и регулярных рабочих подписок.
2025,Октябрь,109800,Регулярные расходы,"Обычный месяц, но регулярные платежи стали немного выше."
2025,Ноябрь,137400,Крупная покупка,Куплена техника и обновлены рабочие инструменты.
2025,Декабрь,168200,Подарки и праздники,"Подарки, праздники, встречи и сезонные траты в конце года."
